,Fb Targets,Forebay,Spill,Generation,TurbineFlow,Gen Targets,H/K,Revenue,Volume,Prices,Discharge,H/K Trueup,Inflows
0,0,936.000110157,1.76783032657e-11,263.405339607,7.99999999983,155.986129579,32.9256674516,13100.9526319,508.9528,49.7368529107,7.99999999984,32.9256674517,7.19656560707
1,0,935.777790342,1.11688436277e-11,197.447152387,6.00000000044,170.68311209,32.9078587287,9002.4203621,508.149365607,45.5940754439,6.00000000045,32.9078587289,2.30551242414
2,0,934.752722065,1.37685418622e-11,131.302986354,4.00000000054,156.89975783,32.8257465841,6018.25119425,504.454878031,45.8348386533,4.00000000056,32.8257465843,2.42757909455
3,0,934.315054477,3.03321812112e-11,65.5813752722,2.00000000057,194.999753173,32.7906876267,1588.4371799,502.882457125,24.2208580302,2.0000000006,32.7906876277,3.72971171707
4,0,934.796456675,2.26192398145e-11,65.6584998092,2.00000000004,177.695954427,32.8292499039,1004.01053797,504.612168841,15.2914023453,2.00000000006,32.8292499048,9.08706287323
5,0,936.758475146,1.55573331995e-11,65.9728311717,2.00000000063,169.363261908,32.9864155754,2459.4332031,511.699231715,37.2794855006,2.00000000065,32.9864155766,5.31626290172
6,0,937.670902719,1.7691625942e-11,66.1190094847,2.0000000001,117.389015829,33.0595047407,1736.78540063,515.015494616,26.2675653215,2.00000000012,33.0595047418,2.18425607748
7,0,937.721493878,2.0326407224e-11,66.1271145979,2.00000000004,114.399705196,33.0635572982,925.256963799,515.199750693,13.9920964256,2.00000000006,33.0635572998,4.95951905106
8,0,938.532591696,1.84465775988e-11,66.2570590787,2.00000000008,149.10608009,33.128529538,1599.92648633,518.159269744,24.1472608138,2.0000000001,33.128529539,6.44631899815
9,0,939.74591715,1.88489224229e-11,66.4514437017,2.00000000009,105.987709366,33.2257218494,1651.9970173,522.605588742,24.8602125895,2.00000000011,33.2257218503,7.21762158514
10,0,941.161794497,1.73669967296e-11,66.6782787945,2.00000000027,185.212335077,33.3391393927,2257.1187457,527.823210327,33.8508849734,2.00000000029,33.3391393934,4.74101342689
11,0,941.902228826,1.72137859522e-11,66.7969025417,2.00000000432,131.843887151,33.3984511987,2531.49598845,530.564223754,37.89840385,2.00000000434,33.3984511993,2.08359920283
12,0,941.924775365,1.90887305962e-11,66.800514548,2.00000000035,194.566921741,33.4002572681,2224.26914711,530.647822952,33.29718584,2.00000000037,33.4002572688,4.56728227419
13,0,942.616128052,1.53992374408e-11,133.822549739,3.99999999999,105.962035485,33.455637435,6050.42869711,533.215105226,45.2123256424,4.0,33.4556374353,2.53659588128
14,0,942.222288807,2.76809686284e-11,66.8481786145,2.00000000013,173.063160725,33.4240893051,1030.59217834,531.751701107,15.4169073818,2.00000000016,33.4240893075,4.42531411744
15,0,942.874648459,1.76969550125e-11,66.9526925612,2.00000001842,154.964266336,33.4763459723,2551.27783016,534.177015225,38.1056792874,2.00000001843,33.4763459729,2.12172134015
16,0,942.907342003,2.36557440303e-11,66.9579297108,2.00000000005,149.093840148,33.4789648545,953.300864455,534.298736546,14.237310929,2.00000000007,33.478964859,9.71982430384
17,0,944.971765822,1.91802129734e-11,67.2886672436,2.00000000037,197.966628699,33.6443336156,2249.18897543,542.01856085,33.4259700417,2.00000000039,33.6443336163,2.20766919373
18,0,945.027055944,2.50555132197e-11,67.2975251638,2.00000000016,166.625358572,33.6487625792,1462.32105512,542.226230043,21.7291951162,2.00000000019,33.6487625803,9.08735076898
19,0,946.906450737,1.47446499454e-11,135.197239037,4.00000000008,181.169700698,33.7993097585,6653.36201427,549.313580812,49.2122624817,4.00000000009,33.7993097589,3.26762898268
20,0,946.712918421,2.41744402274e-11,67.5676140787,2.00000000048,190.76120096,33.7838070312,1710.99550676,548.581209795,25.3227160688,2.00000000051,33.783807032,9.78626573437
21,0,948.762631892,1.49693590856e-11,135.791989736,4.00000000043,127.997113687,33.9479974302,6410.16345325,556.367475529,47.2057554038,4.00000000045,33.9479974305,7.12912494356
22,0,949.581542032,1.848521336e-11,68.0271909716,2.00000000105,197.848201848,34.0135954679,2400.4672395,559.496600472,35.2868787497,2.00000000107,34.0135954686,6.94298831042
23,0,950.869610766,2.01043626191e-11,68.2335500449,2.00000000016,165.841745555,34.1167750198,1950.78043628,564.439588781,28.5897543803,2.00000000018,34.116775021,4.4580892648
24,0,951.507654115,2.38249420192e-11,68.3357697824,2.00000000008,123.182184853,34.1678848898,1349.17890635,566.897678046,19.7433775992,2.0000000001,34.1678848923,9.65381634842
25,0,953.483886137,1.70321534654e-11,137.304756503,3.99999999988,133.795544499,34.3261891268,6098.89976477,574.551494394,44.4187071162,3.99999999989,34.3261891274,5.44391913788
26,0,953.854955003,1.73137060244e-11,68.711826584,2.00000000219,171.74756611,34.3559132545,2483.5852346,575.995413532,36.1449456093,2.0000000022,34.3559132551,9.90278577216
27,0,955.876178026,1.78790315886e-11,138.071285799,3.9999999997,108.605847822,34.5178214524,5433.15628795,583.898199302,39.3503707632,3.99999999971,34.5178214527,7.86624878736
28,0,956.859122114,2.40971687049e-11,69.1931185548,2.00000000004,122.696504547,34.5965592767,944.960661371,587.76444809,13.6568589638,2.00000000007,34.5965592781,2.65111212114
29,0,957.024282977,1.92366123031e-11,69.2195786788,2.00000000026,179.374501219,34.6097893349,2206.39022609,588.415560211,31.8752333979,2.00000000028,34.609789336,2.30986168375
30,0,957.102844494,1.94213534144e-11,69.2321648726,2.00000000022,167.634640931,34.6160824324,2149.54462208,588.725421894,31.0483519624,2.00000000024,34.6160824336,5.7115128059
